Date,n_long,n_short,gross_exposure,gross_pnl,costs,net_pnl,ret_on_exposure,ret_on_capital,equity
2018-01-12,1,2,25.0,0.13437647339703318,0.125,0.00937647339703318,0.00037505893588132724,0.000284441712665905,1.0003750589358813
2018-01-19,4,1,30.0,-0.03704692952595956,0.15000000000000002,-0.18704692952595958,-0.00623489765086532,-0.005674196121550038,0.9941378228309378
2018-01-26,4,0,20.0,-0.34122839116761894,0.1,-0.4412283911676189,-0.022061419558380944,-0.013384964042051266,0.9722057312226091
2018-02-02,15,0,75.0,0.49830248842600455,0.375,0.12330248842600455,0.001644033179013394,0.0037404650446678546,0.973804069701566
2018-02-09,5,0,25.0,0.14041043486045457,0.125,0.01541043486045457,0.0006164173944181828,0.00046748604715510754,0.9744043394688852
2018-02-16,1,0,5.0,0.08098656359285861,0.025,0.055986563592858606,0.01119731271857172,0.001698390573973166,0.9853150495722517
2018-03-02,3,0,15.0,-0.6376927679832334,0.07500000000000001,-0.7126927679832333,-0.047512851198882225,-0.0216200209765324,0.938499922237906
2018-03-09,9,0,45.0,0.26925008378921256,0.225,0.04425008378921255,0.0009833351953158346,0.0013423564580896637,0.9394227822422437
2018-03-16,3,0,15.0,-0.4568846337365512,0.07500000000000001,-0.5318846337365513,-0.03545897558243675,-0.016135082962915687,0.9061118127451313
2018-03-23,8,0,40.0,1.0958623047698046,0.2,0.8958623047698047,0.022396557619245118,0.027176593746021424,0.9264055981687562
2018-04-06,0,1,10.0,-0.13560391043834663,0.05,-0.18560391043834662,-0.01856039104383466,-0.005630421153786562,0.9092111480015466
2018-04-13,1,1,15.0,-1.0828427249789745,0.07500000000000001,-1.1578427249789744,-0.0771895149985983,-0.03512394839140527,0.8390295804559884
2018-04-20,2,1,20.0,1.4011018252985785,0.1,1.3011018252985784,0.06505509126492892,0.03946981086276666,0.8936127263865279
2018-04-27,3,0,15.0,-0.054873055632067014,0.07500000000000001,-0.12987305563206702,-0.008658203708804468,-0.003939787680177085,0.8858756453646932
2018-05-04,5,0,25.0,0.31586943977591264,0.125,0.19086943977591264,0.007634777591036506,0.005790154575879322,0.8926391088903687
2018-05-11,4,0,20.0,-0.4885678430949886,0.1,-0.5885678430949886,-0.029428392154749426,-0.017854606761107818,0.8663701751412768
2018-05-18,11,1,65.0,0.9621441467993502,0.325,0.6371441467993502,0.009802217643066926,0.01932820204961145,0.8748625241574737
2018-05-25,1,1,15.0,-0.05475578251114721,0.07500000000000001,-0.12975578251114722,-0.008650385500743148,-0.003936230120106082,0.8672946260633583
2018-06-01,2,0,10.0,0.8086809720698107,0.05,0.7586809720698107,0.07586809720698107,0.023015104498760937,0.9330946190606253
2018-06-15,1,1,15.0,0.022117231477523647,0.07500000000000001,-0.052882768522476364,-0.0035255179014984242,-0.0016042348345815458,0.9298049772773351
2018-06-22,3,0,15.0,0.13412251921124552,0.07500000000000001,0.059122519211245506,0.0039415012807497,0.001793521925513125,0.9334698047861213
2018-06-29,7,0,35.0,-1.046535474354922,0.17500000000000002,-1.221535474354922,-0.034901013552997774,-0.03705611136460021,0.9008907624779666
2018-07-06,5,0,25.0,0.8663272471524724,0.125,0.7413272471524724,0.029653089886098896,0.022488667422942803,0.927604957235282
2018-07-13,2,3,40.0,-1.9804995819380684,0.2,-2.1804995819380686,-0.05451248954845171,-0.06614694131697746,0.8770389016989018
2018-07-20,7,2,55.0,-0.24374057461822574,0.275,-0.5187405746182258,-0.009431646811240469,-0.01573634896894079,0.8687669805383595
2018-07-27,2,4,50.0,-0.6112061066764629,0.25,-0.8612061066764629,-0.01722412213352926,-0.026125274350898085,0.8538032319599894
2018-08-03,1,1,15.0,0.2327849752922484,0.07500000000000001,0.1577849752922484,0.010518998352816559,0.004786514791294066,0.8627843867506061
2018-08-10,3,0,15.0,0.5975611247686957,0.07500000000000001,0.5225611247686957,0.03483740831791304,0.015852247962316005,0.8928415587221572
