name,years,CAGR_%,vol_%,Sharpe,Sortino,maxDD_%,Calmar,worst_yr_%,best_yr_%,%pos_months
Nifty 50 buy&hold (benchmark),11.4,9.6,16.3,0.66,0.81,-38.4,0.25,-9.6,28.6,56.0
0. FLAGSHIP momentum rotation (Mom/LowVol/Gold/Cash),9.4,21.6,19.9,1.09,1.49,-30.5,0.71,-22.0,74.4,64.0
1. Nifty 200-DMA trend timing,11.4,5.0,10.6,0.53,0.61,-22.8,0.22,-11.2,25.6,64.0
2a. Nifty Alpha 50 buy&hold,11.4,17.4,21.5,0.87,1.02,-40.7,0.43,-14.5,74.4,61.0
2b. Alpha 50 trend-timed,11.4,12.7,14.9,0.9,0.82,-34.2,0.37,-21.1,74.4,71.0
3a. Nifty Low-Vol 30 buy&hold,9.9,11.3,13.9,0.85,1.07,-31.0,0.36,-7.8,32.7,61.0
3b. Low-Vol 30 trend-timed,9.9,7.5,9.1,0.86,1.04,-21.7,0.34,-8.2,28.5,60.0
4. Equity/Gold dual momentum,10.9,14.6,15.2,0.97,2.26,-23.9,0.61,-16.4,71.3,61.0
"   (Gold buy&hold, ref)",11.4,15.0,15.3,1.01,1.34,-24.4,0.62,-5.2,71.8,59.0
5a. BTC buy&hold (ref),9.4,58.8,56.9,0.85,1.15,-83.8,0.7,-73.5,304.9,55.0
"5b. BTC 200-DMA trend (USD, pre-tax)",9.4,39.4,41.3,0.76,0.81,-68.7,0.57,-55.7,176.8,35.0
"5c. ETH 200-DMA trend (USD, pre-tax)",9.4,46.5,52.9,0.77,0.77,-80.1,0.58,-35.8,291.7,34.0
